CourseName,CourseCode,Description,CreditHours,DepartmentCode
Introduction to Literature,210,"The student will be introduced to the worldview of major British and American authors and works from Beowulf to the twentieth century. The student will study the meaning, philosophy, literary qualities, and historical context of the works presented.",3,EN
American Government,304,"This course discusses economic principles (such as supply, demand, consumer behavior, and the theory of the firm) applicable to individuals and firms. Students demonstrate their knowledge in practical application through making production decisions for firms within various market structures, allocating resources to minimize the cost of production, determining price and output levels to maximize firm profits, and analyzing the effects of government intervention in the market economy. This course may be taken as a social science elective.",3,BA
Business Communications,403,"This course teaches students the mechanics and principles of effective business correspondence. Students learn how to compose and edit résumés and cover letters; business e-mail, memorandums, and letters; and formal reports.",3,BA
College Algebra II,130,"Students learn about algebraic functions and equations, exponential and logarithmic functions, linear modeling, graphing techniques, and applications.",3,MA
Linear Algebra,303,"Students learn about vector spaces, Euclidean spaces, the foundational propositions of linear algebra, matrices, and quadratic forms in a MATLAB framework and with application to real world problems.",3,MA
Discrete Mathematics,224,"Students learn basic mathematical logic and proofs, number theory, graph theory, counting techniques, relations, Combinatorics and mathematical induction and recursion. Emphasis is placed on applying these concepts in computer science and software engineering courses.",3,MA
Business Statistics,322,"This course demonstrates the foundations of statistical measurement and analysis using both descriptive and inferential statistics within a business framework. The students will acquire understanding of statistical topics such as frequency distributions, sampling theory, averages, variation, probability and probability distributions, sampling distributions, estimation, hypothesis testing, regression, and correlation.",3,BA
Statistics,326,"This course emphasizes examples and problems chosen specifically for the business, science, and mathematics student. Although descriptive statistics is discussed, the primary concern is for students to master the concepts and techniques for statistical analyses used in inferential and predictive statistics",3,MA
Introduction to Web Design,211,"Students will be introduced to the fundamentals of web page design and creation. Students will learn basic web programming languages utilized by website professionals, including HTML and CSS. Students will apply design principles in creating a publishable website using professional tools.",3,CS
Introduction to Information Technology,130,"Students will study the history of information technology, ethical and legal issues related to computer technology, and computer equipment and software. Students will also learn logic and basic strategies for problem solving",2,CS
Old Testament Survey,201,"A chronological overview of the Pentateuch, including the authorship, purpose, and major characters of each book. The student will learn a broad outline of each book. Special attention is given to the days of creation, the Patriarchs, the events of the Exodus, and the Tabernacle",2,BI
Teachings of Jesus,216,"A comprehensive study of the teachings of Christ as found in the four Gospels, with an emphasis on application. The student will thoroughly investigate Christ’s parables, discourses, and short sayings",3,BI
Life of David,233,A study of the life of David. The student will learn contextual perspectives of theocracy and transition to the monarchy. Emphasis is given to specific events in the life of David and people associated with him. The student will be able to identify and illustrate application of biblical truth to daily life,3,BI
New Testament Survey,101,"This course provides a general knowledge of the four Gospels and Acts. Students learn the author, theme, content, and distinctive features of each book.",2,BI
Principles of Free-Market Economics,300,"The student will assess the principles of supply, demand, inflation, employment levels, financial institutions, fiscal and monetary policy, global markets, and economic theory from a free-market perspective. This course may be taken as a social science elective.",3,BA
